Bait,Protein,predicted_probability,FDR,n_peptides,n_background,mean_cv,background_flag_protein
LMNA,STT3B,0.8440000000000003,0.03432436051961966,7,4,1.9410722145925905,likely background
LMNA,STUB1,0.6636000000000002,0.17515208061205448,5,2,2.30191459943493,
LMNA,STX10,0.6293000000000001,0.19681502334830306,2,0,2.4455368111550464,
LMNA,STX5,0.7580000000000002,0.1414193319748383,8,3,1.4363085651240333,
LMNA,STXBP1,0.7581,0.1414193319748383,7,0,2.6710731486792025,
LMNA,STXBP2,0.03399999999999999,1.0,3,0,3.0090079548017545,
LMNA,STXBP3,0.5584999999999999,0.26151903848096153,9,0,2.28994488253314,
LMNA,STXBP4,0.5854,0.2205986374600691,12,4,1.6899381141496523,
LMNA,STXBP5,0.5899000000000002,0.2177857723884039,16,3,1.9788010172776906,
LMNA,SUB1,0.7888,0.13412030258662763,5,3,1.2240318784027422,likely background
LMNA,SUCLA2,0.5081,0.3982760844331714,2,0,1.794935686007589,
LMNA,SUCLG1,0.6614,0.17515208061205448,2,0,4.342812397843211,
LMNA,SUCLG2,0.5364000000000001,0.35195938876317007,9,1,2.245935354157526,
LMNA,SUDS3,0.6636000000000002,0.17515208061205448,2,0,3.3339593556847644,
LMNA,SUGP1,0.8136999999999999,0.08076473234367972,24,0,2.2915972527953437,
LMNA,SUGP2,0.8058000000000001,0.09505055446836269,38,4,1.9190857246025623,
LMNA,SUGT1,0.7848,0.13800054779512463,11,5,1.7036468994542127,
LMNA,SUMF1,0.5353000000000001,0.35549025654048233,2,0,2.395028752070635,
LMNA,SUMO1,0.4650999999999997,0.5002353358060926,2,1,3.0112373932758443,likely background
LMNA,SUN1,0.9753999999999996,0.0004207573632538569,29,0,2.760843197108463,
LMNA,SUN2,0.9995999999999999,0.0,29,0,2.8562777267968262,
LMNA,SUPT16H,0.9463000000000001,0.002369816027439975,22,11,1.87645767741908,likely background
LMNA,SUPT20H,0.5164000000000001,0.38116662373151894,4,0,2.578641830940006,
LMNA,SUPT3H,0.049899999999999986,1.0,2,0,2.812222378398518,
LMNA,SUPT5H,0.9372999999999999,0.003115264797507788,25,0,2.678577470504086,
LMNA,SUPT6H,0.8299,0.0524086094977793,25,0,2.649776132311769,
LMNA,SUPV3L1,0.0,1.0,5,0,3.2740808057991964,
